DataTransNum	RReqTransNum	RRepTransNum	GenDataNum	GenAckNum	EstabConn	TotalPower	AdhocNum	Selfish1Num	Selfish2Num	ClockNum	av.RDD_perHop	av.DFD_perHop	Max.RDD	

327		111763		312		148		58		58		19417450		70		0		30		66410		3976		8694		18200		
1665		111763		102121		359		74		73		18804901		75		0		25		58268		2928		2799		9300		
311		111763		311		131		66		66		19419585		75		0		25		62352		3428		5366		13800		
1487		111763		102121		311		79		79		18819731		80		0		20		62577		3019		2827		18400		
323		111763		321		131		70		70		19418899		80		0		20		62088		3474		5227		13800		
333		111763		102121		120		85		85		18910000		85		0		15		62874		2888		2704		9200		
317		111763		323		121		82		82		19419860		85		0		15		77639		3144		5261		12200		
331		111763		102121		117		86		86		18910274		90		0		10		56802		2870		2644		9100		
306		111763		323		113		84		84		19420988		90		0		10		52052		3108		5188		12200		
338		111763		102121		113		89		89		18909891		95		0		5		52863		2796		2530		9100		
308		111763		323		108		87		87		19421025		95		0		5		94594		3009		3713		12200		
